ISIN,FY,ROE_Pct,ROCE_Pct,DebtEquity,EPS,Sales,FixedAssets,CWIP
INE068L01024,FY24,19.06,16.09,1.03,7.6,614.68,439.34,39.43
INE068L01024,FY25,19.04,16.54,1.05,8.95,721.07,548.44,48.18
INE068L01024,FY26,20.03,17.04,1.14,,852.55,703.27,11.09
INE264T01014,FY23,8.88,14.2,0.35,13.97,1783.51,671.44,20.18
INE264T01014,FY24,7.93,12.77,0.22,16.09,1919.33,596.93,9.11
INE264T01014,FY25,11.79,15.36,0.25,23.94,2332.27,636.61,54.45
INE264T01014,FY26,10.03,13.47,0.25,22.64,2602.16,724.8,73.23
INE0ILV01024,FY23,-47.02,-25.17,0.8,-11.06,255.37,4.06,0.0
INE0ILV01024,FY24,-11.02,-9.43,0.15,-7.49,525.1,6.13,0.0
INE0ILV01024,FY25,2.34,2.59,0.19,1.67,598.26,9.41,0.0
INE0ILV01024,FY26,5.12,5.15,0.05,,734.6,12.12,0.0
INE646H01017,FY23,15.33,,1.18,20.78,371.45,82.59,0.0
INE646H01017,FY24,9.31,,0.39,30.45,413.1,83.73,0.0
INE646H01017,FY25,9.82,,0.24,29.09,496.2,87.75,0.0
INE646H01017,FY26,9.68,,0.34,31.09,559.67,96.82,0.0
INE475E01026,FY23,20.01,23.97,0.0,49.18,1453.82,489.35,220.48
INE475E01026,FY24,19.74,24.39,0.0,59.9,1679.55,556.76,116.62
INE475E01026,FY25,18.81,23.72,0.0,70.25,1937.47,673.73,139.22
INE475E01026,FY26,17.88,22.38,0.0,84.11,2187.19,759.76,208.62
INE120A01034,FY23,14.68,19.81,0.08,21.74,4601.04,1150.1,105.16
INE120A01034,FY24,14.76,20.56,0.04,24.22,4628.22,1182.18,96.64
INE120A01034,FY25,8.3,13.05,0.05,15.55,4833.52,1383.12,159.89
INE120A01034,FY26,4.99,7.13,0.08,10.3,5149.38,1544.65,155.43
INE752H01013,FY23,12.43,18.38,0.03,28.17,278.99,97.35,0.0
INE752H01013,FY24,14.02,20.14,0.03,33.67,331.68,98.11,0.27
INE752H01013,FY25,17.02,23.42,0.03,45.69,402.32,102.83,1.27
INE752H01013,FY26,18.36,24.81,0.03,,473.07,104.69,0.2
INE0V7W01012,FY23,14.36,16.05,0.57,8.52,1703.75,313.67,11.23
INE0V7W01012,FY24,16.91,18.18,0.58,11.0,1779.7,331.92,6.46
INE0V7W01012,FY25,19.24,21.78,0.42,15.5,1807.55,354.78,1.17
INE0V7W01012,FY26,23.12,26.72,0.27,22.96,2255.49,351.57,0.25
INE290S01011,FY23,1.66,3.2,0.04,6.71,363.3,131.82,0.0
INE290S01011,FY24,0.69,4.92,0.05,2.81,489.6,159.01,0.0
INE290S01011,FY25,6.06,7.65,0.06,26.42,641.46,172.55,0.0
INE290S01011,FY26,8.98,11.52,0.06,44.6,779.27,198.46,1.25
INE482D01024,FY23,17.28,15.22,0.77,19.52,587.62,252.2,29.27
INE482D01024,FY24,16.35,15.18,0.88,21.55,679.04,275.69,24.03
INE482D01024,FY25,12.11,13.86,0.53,22.41,815.57,274.25,11.83
INE482D01024,FY26,16.14,16.79,0.46,,923.95,350.8,25.29
INE172A01027,FY23,40.73,54.06,0.04,8.74,5053.86,365.02,108.36
INE172A01027,FY24,40.7,53.68,0.04,9.37,5345.68,377.38,60.26
INE172A01027,FY25,49.99,65.79,0.03,9.6,5700.32,404.77,72.07
INE483S01020,FY23,4.41,5.8,0.0,0.45,1962.34,195.02,0.0
INE483S01020,FY24,4.67,6.04,0.02,0.5,3150.28,287.04,97.04
INE483S01020,FY25,6.04,8.1,0.05,0.84,3992.58,309.32,120.21
INE483S01020,FY26,5.88,6.95,0.09,0.93,8115.85,351.34,0.56
INE429I01024,FY23,17.43,-4.13,-2.35,-2.82,138.75,401.16,22.58
INE429I01024,FY24,2437.47,393.55,5.1,16.88,130.2,207.76,0.0
INE429I01024,FY25,43.88,53.51,0.0,2.16,181.27,203.4,0.0
INE429I01024,FY26,28.34,24.0,0.0,1.77,294.71,73.17,0.45
INE421D01022,FY23,18.97,13.91,0.61,21.35,2071.22,1310.96,54.01
INE421D01022,FY24,14.94,10.66,0.97,18.76,2653.7,1752.57,501.05
INE421D01022,FY25,15.78,12.3,0.92,23.26,3105.75,2072.07,450.47
INE421D01022,FY26,16.55,16.07,0.56,29.1,4457.37,2030.79,3.46
INE736A01011,FY23,22.73,30.04,0.0,13.2,555.09,273.37,173.16
INE736A01011,FY24,28.64,37.97,0.0,20.05,812.26,313.5,0.0
INE736A01011,FY25,29.92,39.41,0.0,25.2,1082.28,411.58,7.13
INE736A01011,FY26,23.27,31.05,0.0,21.82,1144.92,469.2,5.53
INE482A01020,FY23,5.41,8.52,0.67,46.03,11149.05,6576.89,568.59
INE482A01020,FY24,15.9,19.23,0.44,158.87,11781.71,6892.71,718.94
INE482A01020,FY25,10.82,14.07,0.49,116.85,13020.7,7380.91,523.91
INE482A01020,FY26,13.83,15.92,0.65,172.78,15479.51,8751.86,774.3
INE0AG901020,FY23,28.2,21.09,1.19,9.6,2015.49,250.98,2.17
INE0AG901020,FY24,34.49,24.86,1.2,17.57,2842.56,305.46,4.53
INE0AG901020,FY25,16.04,16.07,0.76,17.04,3436.73,362.08,23.25
INE0AG901020,FY26,14.59,16.76,0.61,,4022.4,343.82,3.58
INE0LMW01024,FY23,79.1,57.62,1.0,12.54,1786.48,331.97,60.66
INE0LMW01024,FY24,28.81,31.42,0.32,15.6,2000.26,567.69,208.21
INE0LMW01024,FY25,15.14,20.41,0.0,16.16,2136.39,652.06,38.23
INE0LMW01024,FY26,12.27,16.11,0.01,14.7,2323.71,790.36,80.38
INE686A01026,FY23,10.04,14.55,0.62,7.23,5090.2,1010.74,165.25
INE686A01026,FY24,18.33,22.27,0.6,15.93,7717.34,1102.65,22.14
INE686A01026,FY25,20.33,23.44,0.54,21.7,9246.16,1104.69,34.07
INE686A01026,FY26,24.91,28.15,0.42,34.79,10060.58,1203.04,41.31
INE485A01015,FY23,6.83,8.61,0.05,41.34,2057.21,753.7,109.77
INE485A01015,FY24,3.13,4.43,0.04,19.56,1734.38,810.96,4.98
INE485A01015,FY25,4.69,6.62,0.03,30.42,1990.29,802.15,13.99
INE485A01015,FY26,6.74,8.66,0.01,46.15,1695.98,781.59,20.01
INE483A01010,FY23,5.75,,0.22,1.93,15837.83,4776.7,0.0
INE483A01010,FY24,8.24,,0.28,3.07,17694.28,5336.35,0.0
INE483A01010,FY25,10.67,,0.35,4.53,19650.44,5205.14,0.0
INE483A01010,FY26,11.6,,0.48,5.0,20660.79,5125.51,0.0
INE660C01027,FY23,-25.24,6.47,4.47,-3.6,1213.89,448.04,3.38
INE660C01027,FY24,-22.55,11.26,9.9,-2.39,2035.6,581.51,3.68
INE660C01027,FY25,-67.13,5.49,59.43,-4.51,2693.21,995.72,129.4
INE660C01027,FY26,-44.36,6.43,51.52,,3142.56,961.9,153.41
INE320B01020,FY23,4.66,5.87,1.45,7.55,884.2,159.01,5.41
INE320B01020,FY24,0.87,7.66,1.18,1.36,1048.25,170.94,5.36
INE320B01020,FY25,0.61,13.67,0.46,1.88,738.35,161.3,8.92
INE320B01020,FY26,-13.59,27.01,0.36,-31.62,950.32,138.62,2.76
INE348B01021,FY23,19.73,23.39,0.17,16.93,3632.15,1400.16,339.2
INE348B01021,FY24,14.76,15.58,0.35,14.69,3862.69,2225.2,319.64
INE348B01021,FY25,7.84,8.76,0.67,8.34,4527.8,2789.59,755.23
INE348B01021,FY26,10.07,10.76,0.68,11.82,5397.18,2974.42,179.58
INE739E01017,FY23,17.86,23.71,0.05,161.01,1800.42,360.3,21.39
INE739E01017,FY24,17.76,23.34,0.03,183.76,1866.49,389.49,18.05
INE739E01017,FY25,18.25,22.14,0.05,190.4,1875.67,389.88,12.02
INE739E01017,FY26,13.87,18.12,0.03,,2032.85,378.78,8.28
INE486A01021,FY23,12.31,11.65,1.31,10.13,14246.35,22809.7,176.07
INE486A01021,FY24,12.03,11.59,1.27,10.38,15293.21,22240.7,291.65
INE486A01021,FY25,11.41,10.88,1.5,10.33,17001.0,23143.87,1471.11
INE486A01021,FY26,12.31,10.68,1.73,11.63,18570.0,24629.0,2905.0
INE037Z01029,FY23,1.95,5.64,0.61,2.65,341.06,117.91,5.98
INE037Z01029,FY24,12.85,23.69,0.49,20.02,494.78,83.67,7.53
INE037Z01029,FY25,9.65,12.72,0.25,27.29,594.44,82.98,4.41
INE037Z01029,FY26,3.46,6.31,0.29,,557.86,104.1,2.64
INE180C01042,FY23,5.74,2.56,2.11,2.54,1325.77,286.51,2.52
INE180C01042,FY24,7.28,2.19,2.71,3.36,2082.16,321.01,0.08
INE180C01042,FY25,11.12,2.52,3.62,5.77,3018.43,297.98,0.12
INE180C01042,FY26,13.18,3.37,3.35,10.12,4348.88,339.31,0.15
INE067A01029,FY23,53.77,56.35,0.01,6.3,6894.6,797.25,34.75
INE067A01029,FY24,47.29,38.25,0.01,9.33,7955.75,923.39,70.78
INE067A01029,FY25,25.35,34.88,0.01,6.37,9814.72,1381.86,446.9
INE067A01029,FY26,15.13,20.25,0.01,7.71,12279.68,2059.7,836.82
INE427F01016,FY23,11.89,10.14,1.73,8.94,1128.47,2247.11,97.77
INE427F01016,FY24,15.03,10.01,1.52,13.53,1417.25,2546.34,64.38
INE427F01016,FY25,4.68,10.5,0.85,6.52,1717.82,3377.58,256.89
INE427F01016,FY26,17.45,16.47,0.64,29.46,2769.75,3476.64,132.49
INE085A01013,FY23,14.63,16.37,0.48,24.85,27771.45,6431.92,170.91
INE085A01013,FY24,17.54,22.39,0.26,30.84,17947.63,6761.79,342.3
INE085A01013,FY25,18.9,28.15,0.01,41.17,16646.12,6990.26,772.19
INE085A01013,FY26,18.77,22.48,0.1,48.76,20793.11,7564.58,1462.56
INE0TGX01019,FY23,7.8,10.5,0.02,9.33,439.13,54.18,12.91
INE0TGX01019,FY24,20.98,28.33,0.05,11.2,282.22,21.53,0.17
INE0TGX01019,FY25,17.82,24.26,,,291.43,21.11,0.3
INE0TGX01019,FY26,16.89,22.0,,13.0,325.29,22.37,0.04
INE03YM01018,FY23,12.05,14.5,0.14,15.04,301.24,157.95,16.54
INE03YM01018,FY24,4.03,5.72,0.09,5.24,265.46,190.44,43.96
INE03YM01018,FY25,4.88,6.97,0.05,6.68,207.4,189.24,40.57
INE03YM01018,FY26,4.88,6.35,0.11,6.44,239.98,215.51,20.87
INE783X01023,FY23,17.87,24.66,0.01,45.14,331.12,237.1,45.38
INE783X01023,FY24,6.8,9.84,0.05,18.34,327.3,369.4,122.83
INE783X01023,FY25,-1.83,0.99,0.22,-4.86,334.37,374.53,35.94
INE783X01023,FY26,-0.91,1.49,0.33,-2.38,311.02,416.94,30.55
INE488A01050,FY23,8.2,8.47,0.55,9.64,4934.53,3634.26,448.34
INE488A01050,FY24,-9.32,-4.27,0.91,-10.02,3915.99,4105.45,198.62
INE488A01050,FY25,-5.34,-1.04,0.89,-6.92,4328.34,4654.42,161.82
INE488A01050,FY26,-15.95,-6.44,1.11,,4216.48,4755.95,374.1
INE178A01016,FY23,54.54,47.85,0.66,237.16,76627.57,7927.51,331.43
INE178A01016,FY24,31.12,33.75,0.32,184.34,66320.42,7677.67,210.11
INE178A01016,FY25,2.61,4.36,0.38,14.38,59269.01,7497.19,208.09
INE178A01016,FY26,27.93,32.76,0.18,208.36,63550.75,7489.7,352.15
INE974B01016,FY23,9.51,12.37,0.01,90.51,559.99,208.3,4.82
INE974B01016,FY24,11.09,13.42,0.01,115.33,459.55,208.06,5.93
INE974B01016,FY25,8.87,11.46,0.01,98.08,435.28,232.76,9.04
INE974B01016,FY26,7.32,9.78,0.01,,544.69,234.72,0.77
INE102B01014,FY23,12.59,14.91,0.43,3.01,389.28,112.99,0.18
INE102B01014,FY24,20.72,20.03,0.75,6.52,750.48,121.11,0.0
INE102B01014,FY25,15.23,19.28,0.45,7.99,910.38,160.29,1.35
INE102B01014,FY26,13.02,15.72,0.54,,1119.13,190.09,10.15
INE121A01024,FY23,18.58,,6.8,32.38,7145.25,431.55,56.86
INE121A01024,FY24,17.46,,6.88,41.06,9938.87,1546.76,7.31
INE121A01024,FY25,18.01,,7.42,50.6,13411.07,1761.39,7.39
INE121A01024,FY26,17.18,,6.95,61.83,16752.35,1871.84,32.39
INE149A01033,FY23,8.04,3.39,6.06,68.72,19381.34,542.37,35.74
INE149A01033,FY24,17.31,3.62,13.09,94.39,27275.59,1669.63,0.0
INE149A01033,FY25,17.37,3.45,13.93,115.76,34836.98,1904.53,3.69
INE149A01033,FY26,15.8,3.27,13.61,130.01,40693.05,2064.29,18.29
INE536H01010,FY23,18.79,17.25,0.14,29.66,8812.04,3048.74,119.25
INE536H01010,FY24,12.58,16.24,0.09,21.81,8629.51,3098.7,78.9
INE536H01010,FY25,11.1,14.0,0.06,21.83,9122.33,3322.42,181.72
INE345H01024,FY23,-6.86,-4.84,1.53,-1.07,629.97,47.65,0.15
INE345H01024,FY24,1.87,0.34,1.44,0.3,649.23,32.18,0.3
INE345H01024,FY25,0.25,-1.49,1.59,0.04,530.72,37.04,0.0
INE345H01024,FY26,5.78,-3.04,1.43,,512.19,39.26,0.0
INE059A01026,FY23,11.97,17.07,0.03,34.69,22473.18,5882.62,891.84
INE059A01026,FY24,15.43,21.17,0.02,51.01,25446.63,6171.11,1102.14
INE059A01026,FY25,16.9,21.7,0.01,65.24,27145.4,6705.45,1443.19
INE059A01026,FY26,11.27,15.04,0.02,48.0,27711.69,7982.77,1942.97
INE227W01023,FY23,29.23,39.11,0.0,27.78,926.47,492.47,32.98
INE227W01023,FY24,20.28,27.17,0.0,22.96,779.76,695.36,59.99
INE227W01023,FY25,18.67,25.18,0.0,24.88,966.64,756.97,45.71
INE227W01023,FY26,14.5,19.55,0.0,21.6,956.55,872.75,117.95
INE647U01026,FY23,-5.39,3.77,3.2,-5.57,928.57,5608.35,2707.09
INE647U01026,FY24,-1.69,6.62,3.04,-2.65,1389.58,7336.4,726.51
INE647U01026,FY25,1.09,6.56,3.15,2.38,1494.26,10396.43,2480.73
INE647U01026,FY26,2.03,5.0,2.76,8.96,1908.42,17583.3,5838.79
INE419D01026,FY23,19.34,22.43,0.2,22.76,1351.25,141.56,8.76
INE419D01026,FY24,16.2,18.49,0.25,22.36,1331.74,148.16,5.33
INE419D01026,FY25,14.03,17.06,0.17,20.68,1495.26,161.85,6.08
INE419D01026,FY26,13.69,17.68,0.1,23.1,1439.58,167.16,0.08
INE11XY01018,FY23,46.67,24.99,2.11,,655.04,455.64,11.88
INE11XY01018,FY24,32.41,15.49,2.84,,953.12,847.23,10.35
INE11XY01018,FY25,26.89,20.19,1.54,,1430.4,922.86,10.53
INE11XY01018,FY26,24.38,16.6,1.73,,1677.66,1414.64,9.84
INE05HV01027,FY23,24.36,30.1,0.0,4.15,1386.09,244.62,15.16
INE05HV01027,FY24,31.62,46.01,0.0,7.05,1732.69,250.32,12.59
INE05HV01027,FY25,32.66,43.18,0.0,9.34,2102.76,249.09,8.52
INE05HV01027,FY26,26.86,36.05,0.0,8.59,2316.53,277.97,41.77
INE00WV01027,FY23,4.63,7.5,0.18,4.46,4454.17,541.68,69.14
INE00WV01027,FY24,-68.54,-59.88,0.43,-38.54,4703.18,669.56,58.21
INE00WV01027,FY25,10.38,11.5,0.67,,5388.18,849.44,182.89
INE925R01014,FY23,19.02,23.82,0.13,18.67,1914.73,673.62,21.27
INE925R01014,FY24,17.83,22.71,0.09,21.39,2264.68,642.45,19.0
INE925R01014,FY25,16.43,21.01,0.08,22.36,2424.53,811.61,164.98
INE925R01014,FY26,12.47,16.01,0.09,18.26,2487.18,1031.65,113.47
INE985W01018,FY23,20.95,20.28,0.76,19.53,1392.76,9.57,0.0
INE985W01018,FY24,20.43,22.63,0.34,31.85,1713.12,8.83,0.0
INE985W01018,FY25,18.06,19.6,0.24,32.18,1774.48,10.39,2.15
INE985W01018,FY26,19.33,14.89,0.89,,2699.77,8.2,0.0
INE522F01014,FY23,52.21,67.24,0.07,51.54,127429.03,82572.4,20754.01
INE522F01014,FY24,43.9,54.02,0.08,60.69,127074.41,86945.49,14738.66
INE522F01014,FY25,34.91,43.13,0.09,57.61,166295.62,105121.17,25702.92
INE522F01014,FY26,26.11,32.12,0.12,50.46,166417.3,110305.22,26027.64
INE704P01025,FY23,6.88,9.36,0.13,11.58,2318.8,2705.51,1762.21
INE704P01025,FY24,15.66,20.36,0.1,29.77,3751.01,3193.64,2244.19
INE704P01025,FY25,14.83,18.95,0.1,31.45,4819.96,3554.3,520.2
INE704P01025,FY26,12.2,14.47,0.28,,5021.87,3742.55,586.11
INE335K01011,FY23,-11.8,-6.03,0.57,-17.98,916.35,909.37,292.9
INE335K01011,FY24,-11.29,-8.29,0.48,-15.27,1007.16,821.15,296.77
INE335K01011,FY25,-2.24,2.47,0.53,-2.75,1077.86,784.53,296.05
INE335K01011,FY26,7.27,8.03,0.3,,1115.75,352.46,5.56
INE591G01025,FY23,22.51,28.21,0.18,22.31,8014.6,687.0,5.0
INE591G01025,FY24,22.28,27.35,0.2,25.92,9008.9,763.7,24.0
INE591G01025,FY25,12.73,19.21,0.17,24.41,12073.3,1126.5,3.1
INE591G01025,FY26,16.31,20.47,0.08,45.9,16402.7,1251.4,3.3
INE03QK01018,FY23,23.7,31.71,0.04,16.16,1331.11,769.48,168.34
INE03QK01018,FY24,14.64,19.5,0.03,11.8,1034.06,788.49,181.21
INE03QK01018,FY25,28.72,34.61,0.16,12.68,2608.5,1252.33,257.65
INE03QK01018,FY26,4.58,5.67,0.1,4.68,2268.55,2163.3,173.22
INE259A01022,FY23,61.01,79.23,0.04,38.5,5187.86,975.88,114.08
INE259A01022,FY24,70.62,91.79,0.04,48.67,5644.18,904.35,110.28
INE259A01022,FY25,86.32,112.11,0.04,52.83,5999.2,814.87,38.41
INE259A01022,FY26,83.66,109.58,0.03,48.73,5983.57,745.43,27.18
INE073V01015,FY23,6.71,7.74,0.63,2.08,289.96,114.42,15.78
INE073V01015,FY24,6.1,7.85,0.84,1.97,288.43,108.63,0.58
INE073V01015,FY25,11.41,11.62,0.76,4.29,347.82,101.37,1.65
INE073V01015,FY26,14.83,12.99,0.72,,387.0,130.33,26.08
INE111A01025,FY23,10.46,13.59,0.07,15.41,7448.81,7546.14,1929.53
INE111A01025,FY24,10.54,13.65,0.08,16.37,7964.75,7947.01,1934.85
INE111A01025,FY25,10.42,13.33,0.07,16.98,8887.02,8322.46,1747.99
INE111A01025,FY26,9.59,12.21,0.07,16.36,9078.97,8064.42,901.27
INE338H01029,FY23,18.61,24.71,0.02,22.95,830.63,773.1,180.32
INE338H01029,FY24,20.18,27.02,0.01,29.45,998.06,794.46,219.46
INE338H01029,FY25,20.5,27.27,0.0,35.52,1179.82,851.69,57.6
INE338H01029,FY26,12.93,17.08,0.0,24.78,1046.36,875.67,87.77
INE552D01024,FY23,10.04,11.22,0.51,2.8,2204.66,654.38,49.14
INE552D01024,FY24,8.58,11.47,0.54,3.3,2698.48,943.54,41.56
INE552D01024,FY25,6.49,9.33,0.58,2.6,3145.76,1045.4,105.64
INE552D01024,FY26,6.55,9.56,0.54,,4704.57,1030.76,27.68
INE025A01027,FY23,42.1,55.26,0.0,96.81,2.27,0.82,0.0
INE025A01027,FY24,5.75,6.3,0.0,14.37,13.57,0.8,0.0
INE025A01027,FY25,10.54,6.9,0.0,33.49,14.84,0.77,0.0
INE663B01015,FY23,17.98,21.5,0.02,32.36,304.29,116.39,7.05
INE663B01015,FY24,16.26,22.03,0.02,33.63,359.27,143.23,5.6
INE663B01015,FY25,24.25,16.54,0.02,62.56,425.03,147.7,8.49
INE663B01015,FY26,9.63,16.33,0.02,27.26,481.96,156.81,4.18
INE0LZF01013,FY23,1067.63,44.62,28.89,7.64,481.92,218.8,0.0
INE0LZF01013,FY24,103.95,-50.0,-2.48,-16.95,441.32,317.56,0.0
INE0LZF01013,FY25,509.93,256.47,1.7,23.23,589.67,90.75,0.0
INE0LZF01013,FY26,65.01,43.58,1.47,,579.43,71.54,0.0
INE169A01031,FY23,25.46,34.7,0.05,68.38,15098.84,2652.31,461.32
INE169A01031,FY24,17.43,23.86,0.05,55.75,13832.01,3013.9,225.06
INE169A01031,FY25,18.64,19.96,0.35,70.12,15936.64,4321.6,496.63
INE169A01031,FY26,15.58,15.39,0.52,66.31,20223.21,6275.48,388.65
INE02ZQ01018,FY23,20.79,25.95,0.07,13.89,883.53,257.41,73.35
INE02ZQ01018,FY24,18.84,20.33,0.33,14.8,1013.68,319.0,127.99
INE02ZQ01018,FY25,24.64,29.83,0.14,24.43,1195.51,392.56,193.83
INE02ZQ01018,FY26,24.79,26.87,0.22,30.27,1401.48,437.83,146.69
INE757A01017,FY23,18.8,15.39,0.72,89.45,3025.23,1593.3,185.48
INE757A01017,FY24,4.62,6.5,0.78,23.64,2536.27,1918.27,355.16
INE757A01017,FY25,9.09,8.79,0.98,50.79,2809.09,2378.08,584.41
INE757A01017,FY26,9.65,10.06,1.04,,3522.19,2634.05,187.7
INE819V01029,FY23,34.76,22.21,1.37,9.24,2283.59,67.62,4.35
INE819V01029,FY24,27.15,22.61,1.03,9.83,2781.59,69.39,0.24
INE819V01029,FY25,34.53,32.18,0.45,29.97,3110.9,212.5,19.37
INE819V01029,FY26,19.61,25.35,0.1,,4215.73,352.12,80.82
INE00LO01017,FY23,18.04,17.47,0.9,117.56,3164.77,2027.37,96.74
INE00LO01017,FY24,18.36,18.02,1.06,144.11,4420.53,2551.01,179.16
INE00LO01017,FY25,6.81,9.12,0.83,83.68,5644.86,3792.36,344.09
INE00LO01017,FY26,11.76,12.02,1.11,160.96,8004.35,4833.42,382.68
INE218I01013,FY25,31.78,,0.03,9.56,364.55,14.78,0.0
INE218I01013,FY26,27.33,36.23,0.02,10.22,424.94,16.39,0.0
INE741K01010,FY23,16.18,5.9,3.19,51.82,3296.98,96.82,0.0
INE741K01010,FY24,22.01,7.59,3.32,90.41,4904.97,121.34,0.0
INE741K01010,FY25,7.64,3.31,2.94,33.24,5539.19,130.71,0.0
INE741K01010,FY26,9.92,3.72,3.01,48.44,5833.23,131.24,0.0
INE559D01011,FY23,40.46,49.7,0.18,139.14,95.85,12.69,0.25
INE559D01011,FY24,5.44,6.31,0.19,21.14,144.27,22.51,12.25
INE559D01011,FY25,7.41,8.44,0.14,31.11,151.82,23.95,12.25
INE559D01011,FY26,3.58,4.05,0.22,,155.85,18.95,0.0
INE007A01025,FY23,30.08,38.96,0.02,90.07,3139.52,101.66,1.91
INE007A01025,FY24,26.67,33.06,0.1,93.55,3259.78,453.54,10.89
INE007A01025,FY25,25.25,31.93,0.1,104.75,3649.01,455.08,3.49
INE0S4R01014,FY23,50.6,67.67,0.0,6.41,472.97,19.5,0.0
INE0S4R01014,FY24,34.87,55.05,0.0,6.79,634.87,25.18,0.0
INE0S4R01014,FY25,30.68,40.61,0.0,8.86,849.49,23.29,0.12
INE0S4R01014,FY26,37.49,48.99,0.0,12.52,1042.16,43.33,0.0
INE299U01018,FY23,17.41,19.68,0.38,7.27,6832.55,499.52,15.55
INE299U01018,FY24,14.67,17.69,0.23,6.88,7273.72,497.09,21.8
INE299U01018,FY25,16.4,20.78,0.14,8.64,7826.75,625.78,34.21
INE299U01018,FY26,-8.16,-1.8,0.07,-3.76,8056.2,653.83,32.01
INE679A01013,FY23,17.09,,0.24,31.55,1649.61,319.36,0.0
INE679A01013,FY24,14.9,,0.46,32.67,2060.83,405.92,0.0
INE679A01013,FY25,13.2,,1.17,34.23,2448.49,628.68,179.05
INE679A01013,FY26,12.94,,1.46,36.5,2896.2,709.81,1.5
INE0ZK601013,FY23,31.45,40.64,0.18,3.07,160.44,30.2,3.47
INE0ZK601013,FY24,21.0,20.91,0.57,2.43,196.71,53.15,23.41
INE0ZK601013,FY25,18.3,21.32,0.45,2.73,199.24,57.92,0.11
INE491A01021,FY23,12.57,,0.63,9.43,2973.03,239.33,0.0
INE491A01021,FY24,12.09,,0.4,10.22,2865.09,270.37,0.0
INE491A01021,FY25,11.87,,0.19,11.3,3213.73,322.34,0.0
INE491A01021,FY26,12.55,,0.46,13.37,3864.92,468.53,0.0
INE298A01020,FY23,21.33,26.21,0.07,44.31,7641.4,1261.01,92.04
INE298A01020,FY24,26.02,33.12,0.02,62.07,8859.99,1339.69,144.25
INE298A01020,FY25,26.45,34.36,0.0,72.15,10219.24,1411.87,119.56
INE298A01020,FY26,27.87,36.4,0.0,85.2,11949.73,1479.46,111.7
INE509F01029,FY23,18.9,24.61,0.04,0.23,155.51,36.01,0.0
INE509F01029,FY24,13.23,16.97,0.04,0.3,167.55,58.05,0.0
INE509F01029,FY25,11.95,15.76,0.06,0.29,183.52,73.06,6.49
INE509F01029,FY26,24.01,28.64,0.13,0.79,357.71,92.35,25.38
INE136B01020,FY23,14.84,16.68,0.35,46.71,6015.9,731.0,5.9
INE136B01020,FY24,16.04,20.5,0.18,61.71,7147.2,781.7,8.4
INE136B01020,FY25,11.6,16.62,0.1,55.51,7360.4,774.1,17.2
INE136B01020,FY26,7.53,11.54,0.08,38.54,7268.2,758.0,38.5
INE055S01018,FY23,16.03,13.15,1.8,4.0,832.03,159.88,3.6
INE055S01018,FY24,6.73,10.45,0.21,8.39,1191.87,194.5,7.64
INE055S01018,FY25,7.17,10.26,0.32,8.56,1519.63,239.5,15.06
INE055S01018,FY26,7.24,10.11,0.17,9.23,1261.48,263.64,34.73
INE016A01026,FY23,19.02,22.55,0.13,9.61,11426.51,2408.74,171.12
INE016A01026,FY24,18.68,21.98,0.14,10.38,12261.65,2770.03,209.09
INE016A01026,FY25,16.37,20.46,0.09,9.95,12400.01,2966.29,166.41
INE016A01026,FY26,16.59,20.04,0.11,10.66,13042.0,2977.4,137.48
INE00R701025,FY23,6.62,7.97,0.25,55.19,13237.0,13930.0,2320.0
INE00R701025,FY24,5.04,6.86,0.29,44.03,14334.0,15718.0,2825.0
INE00R701025,FY25,3.93,5.27,0.33,36.42,13980.0,17685.0,2971.0
INE00R701025,FY26,6.34,7.6,0.41,60.73,14804.0,19465.0,2593.0
INE495A01022,FY23,9.24,12.31,0.17,30.9,3245.45,1688.31,36.39
INE495A01022,FY24,9.29,9.45,0.49,33.66,2898.7,1978.45,150.49
INE495A01022,FY25,11.3,9.54,0.32,45.15,3724.94,1984.72,200.76
INE495A01022,FY26,7.3,7.59,0.56,29.12,3618.08,1796.62,46.52
INE284H01025,FY23,9.12,12.92,0.03,1.23,81.44,11.02,0.0
INE284H01025,FY24,43.37,56.66,0.05,9.98,173.84,9.4,0.0
INE284H01025,FY25,39.32,39.47,0.34,14.68,236.25,105.7,12.08
INE284H01025,FY26,21.9,31.78,0.01,10.28,221.39,97.08,0.45
INE365B01017,FY23,18.0,22.96,0.02,32.05,1459.19,134.15,0.0
INE365B01017,FY24,16.13,20.25,0.01,33.6,1549.89,115.76,0.02
INE365B01017,FY25,15.02,16.68,0.14,34.71,1723.36,147.67,0.0
INE365B01017,FY26,12.58,15.81,0.14,32.86,1987.15,193.05,8.78
INE0IX101010,FY23,10.62,14.22,0.0,23.8,453.45,113.59,3.56
INE0IX101010,FY24,13.72,18.27,0.0,32.45,519.8,156.4,8.02
INE0IX101010,FY25,14.71,19.54,0.0,39.62,708.35,184.73,13.74
INE0IX101010,FY26,15.63,20.91,0.0,48.47,924.77,210.27,21.11
INE950I01011,FY23,8.68,11.49,0.11,9.52,2076.45,934.05,18.85
INE950I01011,FY24,19.16,23.8,0.11,23.87,2348.54,935.68,7.89
INE950I01011,FY25,16.68,20.87,0.13,20.81,2339.11,898.17,13.52
INE950I01011,FY26,13.67,17.61,0.11,18.62,2355.52,995.49,2.76
